APC,Provider State,Outpatient Services,Average Estimated Submitted Charges,Average Total Payments
0096 - Level II Noninvasive Physiologic Studies,ME,2855,537.305324,103.3851979
0096 - Level II Noninvasive Physiologic Studies,MI,10494,546.3209072,104.6458996
0096 - Level II Noninvasive Physiologic Studies,MN,2984,646.5237634,108.6920074
0096 - Level II Noninvasive Physiologic Studies,MO,5567,686.1944063,99.02667685
0096 - Level II Noninvasive Physiologic Studies,MS,3648,939.1199726,92.1636568
0096 - Level II Noninvasive Physiologic Studies,MT,730,463.8513699,107.3029315
0096 - Level II Noninvasive Physiologic Studies,NC,7572,643.6331643,99.71725832
0096 - Level II Noninvasive Physiologic Studies,ND,1077,391.2903435,106.3773073
0096 - Level II Noninvasive Physiologic Studies,NE,1158,676.69481,102.2727288
0096 - Level II Noninvasive Physiologic Studies,NH,1486,612.341568,112.8106124
0096 - Level II Noninvasive Physiologic Studies,NJ,7721,1165.426371,119.0203147
0096 - Level II Noninvasive Physiologic Studies,NM,1168,440.6986986,103.3710445
0096 - Level II Noninvasive Physiologic Studies,NV,404,790.5070297,111.8492574
0096 - Level II Noninvasive Physiologic Studies,NY,6218,628.084294,113.0575539
0096 - Level II Noninvasive Physiologic Studies,OH,14859,652.8692658,99.93153779
0096 - Level II Noninvasive Physiologic Studies,OK,1830,630.962153,91.72530601
0096 - Level II Noninvasive Physiologic Studies,OR,1145,605.0970306,111.657214
0096 - Level II Noninvasive Physiologic Studies,PA,15401,956.6422401,104.1258568
0096 - Level II Noninvasive Physiologic Studies,RI,1160,591.7101638,112.9779052
0096 - Level II Noninvasive Physiologic Studies,SC,4580,747.1053406,99.93227293
0096 - Level II Noninvasive Physiologic Studies,SD,288,525.6197917,107.7579167
0096 - Level II Noninvasive Physiologic Studies,TN,6689,610.8847675,96.4210435
0096 - Level II Noninvasive Physiologic Studies,TX,12007,849.0829391,100.7841034
0096 - Level II Noninvasive Physiologic Studies,UT,579,395.2790674,94.9193437
0096 - Level II Noninvasive Physiologic Studies,VA,7724,638.0972346,101.3251359
0096 - Level II Noninvasive Physiologic Studies,VT,468,1113.702821,115.3213889
0096 - Level II Noninvasive Physiologic Studies,WA,1520,628.6582237,111.7560329
0096 - Level II Noninvasive Physiologic Studies,WI,3459,636.4078375,104.6042903
0096 - Level II Noninvasive Physiologic Studies,WV,1727,419.9786798,93.60476549
0096 - Level II Noninvasive Physiologic Studies,WY,74,313.3990541,107.0502703
0203 - Level IV Nerve Injections,AL,464,3502.654375,809.6075862
0203 - Level IV Nerve Injections,AR,72,2403.261389,762.3423611
0203 - Level IV Nerve Injections,AZ,155,1968.106452,955.84
0203 - Level IV Nerve Injections,CA,306,5331.188497,1050.95366
0203 - Level IV Nerve Injections,CO,27,6120.372963,671.4966667
0203 - Level IV Nerve Injections,CT,13,6157.750769,1034.075385
0203 - Level IV Nerve Injections,FL,569,5273.220035,833.1299649
0203 - Level IV Nerve Injections,IL,268,2993.574664,889.6114552
0203 - Level IV Nerve Injections,IN,43,3100.626977,837.1116279
0203 - Level IV Nerve Injections,KS,25,6955.7456,827.998
0203 - Level IV Nerve Injections,KY,49,2198.935918,800.8393878
0203 - Level IV Nerve Injections,LA,86,2725.767326,768.4677907
0203 - Level IV Nerve Injections,MA,107,2268.841215,1006.105701
0203 - Level IV Nerve Injections,ME,33,3094.851212,862.2542424
0203 - Level IV Nerve Injections,MI,165,3323.305273,850.0193939
0203 - Level IV Nerve Injections,MN,40,2268.52675,765.70425
0203 - Level IV Nerve Injections,MO,135,2781.025111,773.2774074
0203 - Level IV Nerve Injections,MS,72,5163.994444,677.3769444
0203 - Level IV Nerve Injections,MT,19,1355.092105,772.5094737
0203 - Level IV Nerve Injections,NC,15,1982.716667,610.278
0203 - Level IV Nerve Injections,ND,11,3589.716364,777.1290909
0203 - Level IV Nerve Injections,NE,44,2710.729545,752.7147727
0203 - Level IV Nerve Injections,NJ,176,2373.484886,986.6394886
0203 - Level IV Nerve Injections,NM,15,2038.256,860.5
0203 - Level IV Nerve Injections,NY,168,2567.692798,1001.879107
0203 - Level IV Nerve Injections,OH,536,2723.011866,821.4180597
0203 - Level IV Nerve Injections,OK,139,3194.235252,802.2060432
0203 - Level IV Nerve Injections,PA,13,2513.307692,921.15
0203 - Level IV Nerve Injections,SC,36,4876.497778,665.6977778
0203 - Level IV Nerve Injections,SD,150,1676.64,824.2676667
0203 - Level IV Nerve Injections,TN,25,5122.8236,776.736
0203 - Level IV Nerve Injections,TX,544,3308.868143,808.9697059
0203 - Level IV Nerve Injections,UT,41,1612.350976,751.9273171
0203 - Level IV Nerve Injections,VA,28,2166.280357,698.1446429
0203 - Level IV Nerve Injections,VT,14,822.6078571,768.3914286
0203 - Level IV Nerve Injections,WI,94,2658.222021,831.052766
0203 - Level IV Nerve Injections,WV,155,3691.392581,781.4503871
0204 - Level I Nerve Injections,AK,219,433.5911872,217.1362557
0204 - Level I Nerve Injections,AL,1769,1626.384104,157.4505483
0204 - Level I Nerve Injections,AR,1258,937.7651669,164.9702941
0204 - Level I Nerve Injections,AZ,2621,1065.966929,174.2790538
0204 - Level I Nerve Injections,CA,19970,795.1718107,207.4329259
0204 - Level I Nerve Injections,CO,3712,750.9397575,180.6383109
0204 - Level I Nerve Injections,CT,1692,946.4917967,209.8802837
0204 - Level I Nerve Injections,DC,728,868.7961676,185.9996703
0204 - Level I Nerve Injections,DE,73,449.430137,189.850411
0204 - Level I Nerve Injections,FL,11103,751.9688562,170.9310222
0204 - Level I Nerve Injections,GA,3740,947.8146845,169.9187005
0204 - Level I Nerve Injections,HI,1372,291.3267347,193.4796501
0204 - Level I Nerve Injections,IA,4212,617.1759378,171.8960114
0204 - Level I Nerve Injections,ID,1973,312.6364521,168.6887228
0204 - Level I Nerve Injections,IL,12769,729.9904307,179.2887673
0204 - Level I Nerve Injections,IN,3077,1294.493195,166.5076048
0204 - Level I Nerve Injections,KS,2661,892.4788688,168.9791094
0204 - Level I Nerve Injections,KY,3368,1044.702292,163.3436787
0204 - Level I Nerve Injections,LA,1124,972.6975,161.5449555
0204 - Level I Nerve Injections,MA,19751,665.1995879,196.5966224
0204 - Level I Nerve Injections,ME,2331,262.5481038,167.7064994
0204 - Level I Nerve Injections,MI,11854,516.4505188,176.8595175
0204 - Level I Nerve Injections,MN,13385,375.2328622,183.3984542
0204 - Level I Nerve Injections,MO,9598,723.667215,165.3019712
0204 - Level I Nerve Injections,MS,1589,717.9678351,161.4524229
0204 - Level I Nerve Injections,MT,3756,278.146033,183.166696
0204 - Level I Nerve Injections,NC,10696,663.70977,166.131365
0204 - Level I Nerve Injections,ND,5532,285.7502151,177.479774
0204 - Level I Nerve Injections,NE,704,1257.178722,174.3394744
0204 - Level I Nerve Injections,NH,4134,441.9985462,192.6604838
0204 - Level I Nerve Injections,NJ,1408,1636.834006,202.1491903
0204 - Level I Nerve Injections,NM,1692,375.4235402,165.2690662
0204 - Level I Nerve Injections,NV,310,1423.879161,184.0890968
0204 - Level I Nerve Injections,NY,10592,986.1461386,188.5406146
0204 - Level I Nerve Injections,OH,15134,712.4046207,163.4565046
0204 - Level I Nerve Injections,OK,2384,661.040193,163.9067072
0204 - Level I Nerve Injections,OR,2234,550.7276455,186.8669696
0204 - Level I Nerve Injections,PA,14210,716.4355637,169.2758839
0204 - Level I Nerve Injections,RI,324,1312.190031,191.9754012
0204 - Level I Nerve Injections,SC,3130,740.6971981,165.3093291
0204 - Level I Nerve Injections,SD,3703,1005.771745,154.2176344
0204 - Level I Nerve Injections,TN,4529,777.7109185,159.157781
0204 - Level I Nerve Injections,TX,18103,827.7749942,166.6309595
0204 - Level I Nerve Injections,UT,2872,491.2056267,163.2372319
0204 - Level I Nerve Injections,VA,8245,949.2400497,172.4731449
0204 - Level I Nerve Injections,VT,2037,521.301134,193.5600245
0204 - Level I Nerve Injections,WA,6731,531.7678651,188.8602228
0204 - Level I Nerve Injections,WI,12931,457.831218,178.2915204
0204 - Level I Nerve Injections,WV,2644,603.8508056,157.820938
0204 - Level I Nerve Injections,WY,137,1135.495474,178.9672263
0206 - Level II Nerve Injections,AL,413,1529.838232,223.3894431
0206 - Level II Nerve Injections,AR,432,748.8478241,240.7594213
0206 - Level II Nerve Injections,AZ,532,1342.65032,253.0068985
0206 - Level II Nerve Injections,CA,2116,1635.937637,314.9755624
0206 - Level II Nerve Injections,CO,479,1352.671023,268.8470772
0206 - Level II Nerve Injections,CT,324,1280.30392,306.0732407
0206 - Level II Nerve Injections,DC,76,1157.968816,252.3968421
0206 - Level II Nerve Injections,DE,20,1023.1025,279.71
0206 - Level II Nerve Injections,FL,1471,1426.999966,238.7811557
0206 - Level II Nerve Injections,GA,595,1103.293664,252.1212773
0206 - Level II Nerve Injections,HI,40,602.0075,274.039
0206 - Level II Nerve Injections,IA,838,641.1262768,243.1016945
0206 - Level II Nerve Injections,ID,166,809.0484337,253.0008434
0206 - Level II Nerve Injections,IL,1910,911.5005288,247.4970733
0206 - Level II Nerve Injections,IN,830,1461.898217,222.4115542
0206 - Level II Nerve Injections,KS,473,981.6450317,230.2031078
0206 - Level II Nerve Injections,KY,734,1049.884918,235.4871935
0206 - Level II Nerve Injections,LA,292,1267.958699,232.6969178
0206 - Level II Nerve Injections,MA,2386,1005.014204,280.5926488
0206 - Level II Nerve Injections,ME,346,400.9690751,254.1349711
0206 - Level II Nerve Injections,MI,1636,1014.33063,263.6247433
0206 - Level II Nerve Injections,MN,1176,810.5848895,274.4497959
0206 - Level II Nerve Injections,MO,1357,837.0307074,237.0043847
0206 - Level II Nerve Injections,MS,281,1944.758826,237.0565125
0206 - Level II Nerve Injections,MT,222,599.6862162,255.4621622
0206 - Level II Nerve Injections,NC,2259,1084.42865,248.7818769
0206 - Level II Nerve Injections,ND,408,473.8770588,265.7314951
0206 - Level II Nerve Injections,NE,185,1165.996324,247.3957838
0206 - Level II Nerve Injections,NH,507,581.0766667,293.1494872
0206 - Level II Nerve Injections,NJ,594,1541.287205,294.9911111
0206 - Level II Nerve Injections,NM,147,594.8862585,252.7429932
0206 - Level II Nerve Injections,NV,52,2176.174038,282.0253846
0206 - Level II Nerve Injections,NY,2052,1117.51941,235.8767349
0206 - Level II Nerve Injections,OH,2048,957.1146094,237.5820801
0206 - Level II Nerve Injections,OK,156,1248.184295,226.7510897
0206 - Level II Nerve Injections,OR,307,653.8425081,291.1292834
0206 - Level II Nerve Injections,PA,1657,1514.423669,247.2505794
0206 - Level II Nerve Injections,RI,120,652.94875,293.2949167
0206 - Level II Nerve Injections,SC,656,1136.476601,238.3144665
0206 - Level II Nerve Injections,SD,337,866.0837982,235.4223145
0206 - Level II Nerve Injections,TN,1311,803.9892906,248.3915561
0206 - Level II Nerve Injections,TX,2374,1462.209153,243.2898399
0206 - Level II Nerve Injections,UT,525,434.7605905,245.8594286
0206 - Level II Nerve Injections,VA,969,943.9141899,254.6569659
0206 - Level II Nerve Injections,VT,410,1042.876122,288.8736341
0206 - Level II Nerve Injections,WA,1233,850.8625385,279.1220438
0206 - Level II Nerve Injections,WI,1167,715.7645244,268.0027506
0206 - Level II Nerve Injections,WV,263,725.4176806,222.5792015
0207 - Level III Nerve Injections,AK,473,1621.601691,553.1055391
0207 - Level III Nerve Injections,AL,19896,2860.107637,451.9006991
0207 - Level III Nerve Injections,AR,7623,1681.316336,466.3979549
0207 - Level III Nerve Injections,AZ,3635,2142.435197,514.4325887
0207 - Level III Nerve Injections,CA,18474,4153.246816,585.5460447
0207 - Level III Nerve Injections,CO,5395,2029.192658,500.8440445
0207 - Level III Nerve Injections,CT,5361,1802.165589,589.3492856
0207 - Level III Nerve Injections,DC,1017,1605.5394,514.4423599
0207 - Level III Nerve Injections,DE,409,1585.35978,539.3730807
0207 - Level III Nerve Injections,FL,15654,2724.723154,478.3588648
0207 - Level III Nerve Injections,GA,11083,2388.936741,472.3106397
0207 - Level III Nerve Injections,HI,188,2137.428457,577.5923404
0207 - Level III Nerve Injections,IA,10527,1919.068354,487.0839004
0207 - Level III Nerve Injections,ID,1941,983.9846265,475.9525605
0207 - Level III Nerve Injections,IL,26550,2178.966114,500.6457657
0207 - Level III Nerve Injections,IN,15888,2410.563111,474.6052795
0207 - Level III Nerve Injections,KS,13329,1735.888872,480.3629837
0207 - Level III Nerve Injections,KY,15266,2221.982608,473.654584
0207 - Level III Nerve Injections,LA,6904,2281.012355,437.4454114
0207 - Level III Nerve Injections,MA,23293,1980.395802,565.1304469
0207 - Level III Nerve Injections,ME,1765,1421.011853,503.4351841
0207 - Level III Nerve Injections,MI,16919,1770.03822,515.8702612
0207 - Level III Nerve Injections,MN,10097,1401.268126,531.0119362
0207 - Level III Nerve Injections,MO,30245,1700.587466,473.3317305
0207 - Level III Nerve Injections,MS,4794,2662.319351,457.5663913
0207 - Level III Nerve Injections,MT,2462,1226.640097,510.6292161
0207 - Level III Nerve Injections,NC,25154,1854.011938,478.1447026
0207 - Level III Nerve Injections,ND,3623,1104.732484,520.6966216
0207 - Level III Nerve Injections,NE,3744,1588.660983,496.493985
0207 - Level III Nerve Injections,NH,3589,1941.150201,549.8807189
0207 - Level III Nerve Injections,NJ,9097,3889.298266,576.0034561
0207 - Level III Nerve Injections,NM,1176,2071.715051,484.3597194
0207 - Level III Nerve Injections,NV,1156,2095.817751,521.860917
0207 - Level III Nerve Injections,NY,21461,2593.905451,556.9558348
0207 - Level III Nerve Injections,OH,27386,2109.440657,475.2843957
0207 - Level III Nerve Injections,OK,11538,2368.102826,459.4753735
0207 - Level III Nerve Injections,OR,2283,1524.325992,519.3643452
0207 - Level III Nerve Injections,PA,22699,2741.032227,491.682564
0207 - Level III Nerve Injections,RI,1214,1718.251137,531.2468122
0207 - Level III Nerve Injections,SC,12835,1786.776791,472.6513806
0207 - Level III Nerve Injections,SD,7229,1415.920248,512.3991645
0207 - Level III Nerve Injections,TN,7548,2294.741583,456.3622814
0207 - Level III Nerve Injections,TX,33061,3473.55011,465.512117
0207 - Level III Nerve Injections,UT,2765,1343.221649,471.9530452
0207 - Level III Nerve Injections,VA,11532,2222.067549,483.6282484
0207 - Level III Nerve Injections,VT,2252,1387.757074,530.8705284
0207 - Level III Nerve Injections,WA,8154,1907.458663,520.3763846
0207 - Level III Nerve Injections,WI,14693,1539.961936,499.6204866
0207 - Level III Nerve Injections,WV,4264,1699.811513,448.6639705
0207 - Level III Nerve Injections,WY,1004,1804.698088,500.9371713
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",AK,726,3709.34011,898.069697
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",AL,12245,4026.298064,693.9530617
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",AR,5191,2950.747043,706.1302273
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",AZ,3155,3284.926853,787.5371601
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",CA,8557,4529.773946,918.9302957
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",CO,5054,3959.978077,786.0764958
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",CT,4245,4473.956007,890.2716726
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",DC,529,2635.889414,804.1163894
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",DE,818,2518.153667,757.5536675
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",FL,18098,4467.437568,742.8861626
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",GA,11490,3771.704721,729.5721427
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",HI,431,2345.154988,831.1466589
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",IA,4861,2820.539866,738.0233944
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",ID,2232,2944.705533,741.0775358
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",IL,17473,3709.194195,765.4319865
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",IN,12841,3711.726764,740.5830792
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",KS,3297,3731.958195,735.2252502
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",KY,8693,2988.213331,708.2578511
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",LA,4315,3787.500433,706.8113835
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",MA,8188,3017.900749,851.7552027
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",ME,2974,2299.515834,754.0387996
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",MI,16388,2961.041278,773.2228686
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",MN,5428,3115.750717,811.7899558
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",MO,11910,3622.829413,724.7762981
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",MS,5235,2977.46962,697.797383
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",MT,1430,2109.511245,781.032993
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",NC,15442,2965.487096,735.8806424
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",ND,1345,2361.66252,775.7947138
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",NE,2770,3158.266971,753.6470722
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",NH,2108,3630.24759,827.8250285
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",NJ,9052,5848.492613,870.2099923
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",NM,1633,2834.68188,766.6236007
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",NV,306,5691.070261,816.648268
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",NY,11787,3470.957397,802.7606253
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",OH,16487,3692.156825,730.4833208
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",OK,7447,3715.199263,719.4580435
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",OR,3745,2842.754115,810.9230147
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",PA,14734,4229.210284,759.612934
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",RI,960,2940.83274,828.7371979
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",SC,7857,3298.473253,719.2579687
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",SD,2120,3021.431439,809.0922358
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",TN,12016,3761.089869,697.6014422
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",TX,21534,4419.865942,730.7953938
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",UT,3221,2682.812993,729.0678516
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",VA,9561,3269.949114,734.8478517
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",VT,591,3349.484501,830.6762267
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",WA,7300,4246.10067,824.8599397
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",WI,5862,3658.176056,768.2537837
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",WV,3431,2377.917823,694.0248441
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",WY,479,3102.864635,777.768643
0265 - Level I Diagnostic and Screening Ultrasound,AK,544,409.7755882,73.10841912
0265 - Level I Diagnostic and Screening Ultrasound,AL,9928,443.0714404,55.92659347
0265 - Level I Diagnostic and Screening Ultrasound,AR,6793,295.221135,56.52007655
0265 - Level I Diagnostic and Screening Ultrasound,AZ,5353,635.7224248,63.44843265
0265 - Level I Diagnostic and Screening Ultrasound,CA,36241,622.8268102,73.22913523
0265 - Level I Diagnostic and Screening Ultrasound,CO,6798,504.9691733,63.2226449
0265 - Level I Diagnostic and Screening Ultrasound,CT,13024,578.2460212,72.08424985
0265 - Level I Diagnostic and Screening Ultrasound,DC,2675,467.1960785,64.07792523
0265 - Level I Diagnostic and Screening Ultrasound,DE,2271,251.6876266,64.13872743
0265 - Level I Diagnostic and Screening Ultrasound,FL,39495,639.4361879,60.34609849
0265 - Level I Diagnostic and Screening Ultrasound,GA,16425,452.5227489,58.17499787
0265 - Level I Diagnostic and Screening Ultrasound,HI,1240,288.2016694,67.14604032
0265 - Level I Diagnostic and Screening Ultrasound,IA,3962,328.8573094,59.26109541
0265 - Level I Diagnostic and Screening Ultrasound,ID,1820,273.9684451,59.09683516
0265 - Level I Diagnostic and Screening Ultrasound,IL,29895,530.9389553,62.25319686
0265 - Level I Diagnostic and Screening Ultrasound,IN,11773,497.9183241,59.83656927
0265 - Level I Diagnostic and Screening Ultrasound,KS,4885,531.9138403,58.83672671
0265 - Level I Diagnostic and Screening Ultrasound,KY,9524,449.3821892,57.01816464
0265 - Level I Diagnostic and Screening Ultrasound,LA,7552,385.0081528,56.23436308
0265 - Level I Diagnostic and Screening Ultrasound,MA,19228,435.7621229,68.81743239
0265 - Level I Diagnostic and Screening Ultrasound,ME,4436,310.0357394,60.83964608
0265 - Level I Diagnostic and Screening Ultrasound,MI,22872,371.1501924,62.42761062
0265 - Level I Diagnostic and Screening Ultrasound,MN,6534,337.2627227,65.31564891
0265 - Level I Diagnostic and Screening Ultrasound,MO,14924,467.6176514,57.98321563
0265 - Level I Diagnostic and Screening Ultrasound,MS,6853,427.8617627,55.67963957
0265 - Level I Diagnostic and Screening Ultrasound,MT,1674,221.2982378,62.80439665
0265 - Level I Diagnostic and Screening Ultrasound,NC,15044,370.8234698,58.62003722
0265 - Level I Diagnostic and Screening Ultrasound,ND,1531,203.5735728,62.87175049
0265 - Level I Diagnostic and Screening Ultrasound,NE,2495,395.3409218,60.15258517
0265 - Level I Diagnostic and Screening Ultrasound,NH,2529,399.9336655,66.87455121
0265 - Level I Diagnostic and Screening Ultrasound,NJ,14423,725.7513166,70.52390349
0265 - Level I Diagnostic and Screening Ultrasound,NM,1902,471.1612829,61.91476341
0265 - Level I Diagnostic and Screening Ultrasound,NV,1050,490.5014476,64.84641905
0265 - Level I Diagnostic and Screening Ultrasound,NY,31619,515.0468361,68.26147222
0265 - Level I Diagnostic and Screening Ultrasound,OH,20491,465.0899849,58.8767371
0265 - Level I Diagnostic and Screening Ultrasound,OK,6931,431.4113346,57.67950512
0265 - Level I Diagnostic and Screening Ultrasound,OR,4242,278.2994389,65.37087694
0265 - Level I Diagnostic and Screening Ultrasound,PA,28703,551.4887705,60.96317737
0265 - Level I Diagnostic and Screening Ultrasound,RI,1970,544.4394315,67.08081218
0265 - Level I Diagnostic and Screening Ultrasound,SC,11931,436.2640055,58.27025647
0265 - Level I Diagnostic and Screening Ultrasound,SD,706,402.5764873,65.47084986
0265 - Level I Diagnostic and Screening Ultrasound,TN,16817,407.2312458,57.17661355
0265 - Level I Diagnostic and Screening Ultrasound,TX,37067,535.3923401,59.3202741
0265 - Level I Diagnostic and Screening Ultrasound,UT,3147,361.7312806,58.95405783
0265 - Level I Diagnostic and Screening Ultrasound,VA,15502,496.7046794,58.89530383
0265 - Level I Diagnostic and Screening Ultrasound,VT,2020,405.126505,66.40593069
0265 - Level I Diagnostic and Screening Ultrasound,WA,7880,427.0122982,65.41156472
0265 - Level I Diagnostic and Screening Ultrasound,WI,7711,485.4517378,62.33698094
0265 - Level I Diagnostic and Screening Ultrasound,WV,4350,309.8046322,55.21381839
0265 - Level I Diagnostic and Screening Ultrasound,WY,381,295.9308924,65.12244094
0267 - Level III Diagnostic and Screening Ultrasound,AK,1025,903.909278,179.2314341
0267 - Level III Diagnostic and Screening Ultrasound,AL,31252,879.8781768,137.5494618
0267 - Level III Diagnostic and Screening Ultrasound,AR,12202,916.5877405,140.3033101
0267 - Level III Diagnostic and Screening Ultrasound,AZ,15061,1313.136288,157.8327999
0267 - Level III Diagnostic and Screening Ultrasound,CA,90103,1611.715606,178.9652099
0267 - Level III Diagnostic and Screening Ultrasound,CO,12022,1174.809259,154.6413184
0267 - Level III Diagnostic and Screening Ultrasound,CT,14461,1004.595345,176.5782422
0267 - Level III Diagnostic and Screening Ultrasound,DC,2619,755.0552539,157.0659908
0267 - Level III Diagnostic and Screening Ultrasound,DE,10542,686.194816,158.1531503
0267 - Level III Diagnostic and Screening Ultrasound,FL,64219,1213.546423,147.155669
0267 - Level III Diagnostic and Screening Ultrasound,GA,41412,982.7877741,145.2129083
0267 - Level III Diagnostic and Screening Ultrasound,HI,2323,728.3593586,166.5905338
0267 - Level III Diagnostic and Screening Ultrasound,IA,16458,849.0203226,146.6123362
0267 - Level III Diagnostic and Screening Ultrasound,ID,4882,493.2181073,146.7834392
0267 - Level III Diagnostic and Screening Ultrasound,IL,79761,1171.783737,152.1477518
0267 - Level III Diagnostic and Screening Ultrasound,IN,34387,983.1215122,147.1235729
0267 - Level III Diagnostic and Screening Ultrasound,KS,13136,907.0533823,143.2682339
0267 - Level III Diagnostic and Screening Ultrasound,KY,31040,1012.029091,140.6270686
0267 - Level III Diagnostic and Screening Ultrasound,LA,18391,915.3107656,138.1492659
0267 - Level III Diagnostic and Screening Ultrasound,MA,38591,905.3344757,169.3498124
0267 - Level III Diagnostic and Screening Ultrasound,ME,8697,707.916746,148.5992181
0267 - Level III Diagnostic and Screening Ultrasound,MI,51935,706.3944839,153.2941508
0267 - Level III Diagnostic and Screening Ultrasound,MN,17855,758.4168418,160.3944884
0267 - Level III Diagnostic and Screening Ultrasound,MO,37136,943.2733415,142.5772953
0267 - Level III Diagnostic and Screening Ultrasound,MS,17682,999.5328373,137.823313
0267 - Level III Diagnostic and Screening Ultrasound,MT,3677,704.3880772,155.0602638
0267 - Level III Diagnostic and Screening Ultrasound,NC,35674,808.7397637,145.4301275
0267 - Level III Diagnostic and Screening Ultrasound,ND,4458,578.4895402,154.2513302
0267 - Level III Diagnostic and Screening Ultrasound,NE,11122,1038.055847,147.8079212
0267 - Level III Diagnostic and Screening Ultrasound,NH,8878,823.8052985,163.9926515
0267 - Level III Diagnostic and Screening Ultrasound,NJ,35622,1498.506686,172.4230414
0267 - Level III Diagnostic and Screening Ultrasound,NM,5514,936.3777639,150.5593671
0267 - Level III Diagnostic and Screening Ultrasound,NV,5687,1329.610403,159.380946
0267 - Level III Diagnostic and Screening Ultrasound,NY,36026,918.3491492,161.0791326
0267 - Level III Diagnostic and Screening Ultrasound,OH,70381,978.0090794,145.4627921
0267 - Level III Diagnostic and Screening Ultrasound,OK,18496,884.245086,142.3089376
0267 - Level III Diagnostic and Screening Ultrasound,OR,9064,801.2109797,160.0398455
0267 - Level III Diagnostic and Screening Ultrasound,PA,77632,1317.619599,148.830956
0267 - Level III Diagnostic and Screening Ultrasound,RI,4772,1083.781549,163.1567624
0267 - Level III Diagnostic and Screening Ultrasound,SC,30146,1127.587994,143.9342646
0267 - Level III Diagnostic and Screening Ultrasound,SD,4758,731.8697667,155.9096931
0267 - Level III Diagnostic and Screening Ultrasound,TN,35854,929.0410066,139.8926661
0267 - Level III Diagnostic and Screening Ultrasound,TX,79058,1229.964246,144.6972348
0267 - Level III Diagnostic and Screening Ultrasound,UT,4763,583.5420785,144.697995
0267 - Level III Diagnostic and Screening Ultrasound,VA,36701,1006.423817,146.166423
0267 - Level III Diagnostic and Screening Ultrasound,VT,2976,1160.321025,163.1435921
0267 - Level III Diagnostic and Screening Ultrasound,WA,18194,1038.071197,161.7191041
0267 - Level III Diagnostic and Screening Ultrasound,WI,17533,858.7725558,152.0966104
0267 - Level III Diagnostic and Screening Ultrasound,WV,15056,743.9983615,135.3878055
0267 - Level III Diagnostic and Screening Ultrasound,WY,1020,801.6664314,159.8308137
0269 - Level II Echocardiogram Without Contrast,AK,1530,1682.531098,462.0774183
